id,district,street,house_number,metro_station,metro_distance_min,area_m2,living_area_m2,kitchen_area_m2,rooms,floor,total_floors,house_type,wall_material,year_built,repair,balcony,ceiling_height_m,bathroom_type,has_elevator,has_parking,has_furniture,heating_type,window_view,security,deal_type,seller_type,price_rub,price_per_m2,listing_date
2218,Ленинский,Строителей,138,Проспект Мира,30,69.2,46.9,18.5,1,4,21,Панельный,Панель,2010,Требует капремонта,2 лоджии,2.56,2 санузла,Нет,Да,Нет,Автономное,Смешанный,Да,Аренда,Собственник,20040804,289607,2026-06-16
2219,Октябрьский,Кирова,34,Юбилейная,31,27.3,18.6,19.7,5,18,28,Монолитно-кирпичный,Газобетон,2018,Дизайнерский,Нет,2.56,Раздельный,Да,Да,Нет,Центральное,Во двор,Нет,Продажа,Застройщик,4835348,177119,2026-01-20
2220,Восточный,Пушкина,60,Проспект Мира,24,49.9,36.0,18.1,1,5,5,Деревянный,Дерево,2004,Косметический,2 лоджии,3.39,Совмещенный,Да,Нет,Нет,Газовое,На реку,Нет,Аренда,Агентство,13251493,265561,2026-06-11
2221,Ленинский,Строителей,196,Площадь Ленина,30,81.3,51.0,16.5,5,10,10,Панельный,Кирпич,2022,Косметический,Балкон + лоджия,3.05,Раздельный,Да,Да,Да,Электрическое,Во двор,Нет,Продажа,Собственник,15802606,194374,2025-07-12
2222,Фрунзенский,Мира,24,Спортивная,14,131.6,89.2,14.2,2,1,6,Блочный,Дерево,2001,Требует капремонта,2 лоджии,2.92,2 санузла,Да,Нет,Да,Электрическое,На улицу,Да,Продажа,Застройщик,14379274,109265,2026-05-28
2223,Советский,Ленина,168,Спортивная,2,149.4,101.6,19.2,1,8,23,Кирпичный,Газобетон,2004,Косметический,Лоджия,3.01,Совмещенный,Да,Да,Да,Электрическое,Смешанный,Да,Аренда,Застройщик,38622738,258519,2025-06-03
2224,Центральный,Гагарина,27,Площадь Ленина,15,87.8,51.0,13.8,2,2,9,Панельный,Монолит,1999,Косметический,Балкон + лоджия,2.89,2 санузла,Нет,Да,Да,Электрическое,На реку,Да,Продажа,Застройщик,27504228,313260,2025-03-22
2225,Московский,Кирова,163,Проспект Мира,12,122.3,83.6,21.3,2,2,5,Панельный,Монолит,2011,Косметический,Балкон,3.27,Совмещенный,Нет,Да,Да,Газовое,Смешанный,Нет,Аренда,Агентство,13517085,110524,2025-05-17
2226,Ленинский,Мира,67,Заречная,20,82.5,57.6,19.1,4,1,5,Деревянный,Газобетон,1993,Без ремонта,Нет,3.09,Раздельный,Нет,Да,Да,Автономное,На улицу,Да,Продажа,Застройщик,7058040,85552,2025-08-06
2227,Центральный,Гагарина,146,Спортивная,44,95.3,61.6,6.4,2,6,27,Монолитно-кирпичный,Кирпич,1999,Без ремонта,Балкон + лоджия,3.38,2 санузла,Да,Да,Да,Газовое,На реку,Да,Продажа,Собственник,25176639,264183,2025-01-24
2228,Приморский,Гагарина,94,Парк Культуры,23,48.2,32.4,20.5,2,17,28,Монолитно-кирпичный,Монолит,1985,Дизайнерский,Лоджия,2.87,2 санузла,Нет,Нет,Да,Газовое,На улицу,Нет,Продажа,Застройщик,12187514,252853,2025-12-07
2229,Фрунзенский,Гагарина,114,Автозаводская,31,54.7,37.3,8.2,6,16,19,Панельный,Газобетон,1994,Косметический,Балкон + лоджия,3.02,Совмещенный,Нет,Да,Да,Газовое,На реку,Нет,Аренда,Застройщик,7871603,143905,2026-02-25
2230,Восточный,Гагарина,87,Университет,7,145.9,88.6,8.6,2,12,13,Монолитно-кирпичный,Панель,1964,Евроремонт,2 лоджии,3.13,2 санузла,Да,Нет,Нет,Автономное,На реку,Да,Аренда,Агентство,15421630,105700,2026-01-19
2231,Приморский,Гагарина,131,Спортивная,8,26.9,18.6,14.5,1,1,11,Кирпичный,Кирпич,1974,Требует капремонта,Балкон,3.08,2 санузла,Да,Нет,Да,Газовое,Смешанный,Нет,Аренда,Собственник,2394638,89020,2025-02-05
2232,Московский,Пушкина,138,Юбилейная,24,35.8,22.5,7.4,3,2,22,Деревянный,Газобетон,1959,Без ремонта,Балкон + лоджия,2.78,Раздельный,Нет,Да,Да,Электрическое,Смешанный,Нет,Аренда,Застройщик,8753386,244508,2025-06-15
2233,Восточный,Кирова,23,Автозаводская,30,150.4,89.7,5.7,5,2,4,Панельный,Дерево,1967,Косметический,Нет,3.31,Совмещенный,Нет,Да,Нет,Электрическое,На улицу,Да,Продажа,Собственник,27300608,181520,2026-07-05
2234,Кировский,Победы,2,Университет,13,113.0,79.9,7.3,5,8,14,Монолитно-кирпичный,Дерево,1993,Косметический,Балкон,3.3,2 санузла,Да,Нет,Да,Автономное,На улицу,Да,Продажа,Агентство,17002206,150462,2026-01-30
2235,Ленинский,Молодежная,70,Южная,40,87.1,61.7,21.9,5,16,22,Деревянный,Панель,1998,Без ремонта,Балкон + лоджия,3.34,Совмещенный,Нет,Да,Нет,Центральное,На парк,Нет,Аренда,Агентство,8175293,93861,2025-08-03
2236,Восточный,Победы,196,Спортивная,15,95.7,67.1,10.7,6,2,9,Блочный,Панель,1965,Евроремонт,Балкон,3.33,2 санузла,Нет,Да,Нет,Газовое,На реку,Нет,Аренда,Собственник,23627660,246893,2025-03-28
2237,Южный,Мира,116,Площадь Ленина,26,139.1,91.9,7.5,1,1,6,Деревянный,Газобетон,1992,Дизайнерский,Лоджия,2.92,Раздельный,Нет,Нет,Да,Центральное,На реку,Нет,Продажа,Застройщик,30902873,222163,2025-03-17
2238,Октябрьский,Победы,101,Проспект Мира,25,123.2,86.1,15.3,6,10,11,Монолитный,Дерево,1979,Дизайнерский,Балкон,3.28,Раздельный,Да,Да,Нет,Центральное,Во двор,Нет,Аренда,Застройщик,17162376,139305,2025-12-26
2239,Московский,Гагарина,60,Автозаводская,35,133.1,86.8,13.2,4,10,23,Панельный,Дерево,2021,Евроремонт,Балкон + лоджия,2.98,2 санузла,Нет,Нет,Нет,Электрическое,На реку,Да,Продажа,Собственник,36147564,271582,2025-12-05
2240,Октябрьский,Советская,145,Юбилейная,38,99.8,59.8,8.3,1,15,15,Блочный,Дерево,1972,Требует капремонта,Балкон,2.99,Совмещенный,Нет,Нет,Да,Центральное,Во двор,Нет,Аренда,Застройщик,26681230,267347,2025-10-19
2241,Центральный,Университетская,57,Университет,5,51.8,36.8,15.0,4,15,29,Блочный,Монолит,1996,Евроремонт,Балкон,2.68,Совмещенный,Нет,Да,Да,Газовое,Во двор,Да,Продажа,Собственник,11804235,227881,2025-11-21
2242,Северный,Университетская,159,Северная,11,145.9,89.5,16.5,6,6,12,Блочный,Монолит,1965,Требует капремонта,Балкон,2.65,Раздельный,Да,Нет,Нет,Газовое,На реку,Да,Продажа,Застройщик,17098750,117195,2025-02-14
2243,Ленинский,Пушкина,12,Заречная,15,142.4,92.0,5.7,6,17,18,Блочный,Газобетон,1999,Требует капремонта,Лоджия,2.54,2 санузла,Нет,Да,Нет,Автономное,На улицу,Нет,Продажа,Застройщик,15171723,106543,2025-01-09
2244,Московский,Кирова,155,Площадь Ленина,27,27.5,18.9,9.8,5,20,29,Монолитный,Кирпич,2006,Дизайнерский,Нет,3.06,Раздельный,Да,Нет,Да,Автономное,Во двор,Нет,Аренда,Застройщик,2665575,96930,2025-02-25
2245,Приморский,Лесная,40,Юбилейная,27,61.6,42.1,19.8,3,15,20,Панельный,Дерево,1970,Евроремонт,2 лоджии,3.11,2 санузла,Да,Нет,Нет,Автономное,Смешанный,Нет,Продажа,Собственник,12405439,201387,2026-02-25
2246,Западный,Лесная,113,Заречная,45,45.9,31.6,21.9,2,16,28,Панельный,Газобетон,2018,Евроремонт,Лоджия,2.56,Совмещенный,Да,Да,Нет,Газовое,На улицу,Да,Продажа,Собственник,11009941,239868,2026-02-22
2247,Центральный,Кирова,115,Северная,1,109.9,75.3,17.3,1,8,18,Деревянный,Дерево,1987,Евроремонт,Нет,3.17,Совмещенный,Нет,Да,Нет,Автономное,На реку,Нет,Аренда,Застройщик,33904369,308502,2025-07-15
2248,Советский,Советская,195,Северная,36,25.8,16.9,14.5,2,4,18,Панельный,Монолит,2013,Евроремонт,2 лоджии,2.68,Совмещенный,Да,Нет,Да,Газовое,На парк,Нет,Продажа,Застройщик,6902248,267529,2025-11-05
2249,Московский,Молодежная,21,Северная,1,50.2,34.3,12.1,6,1,15,Панельный,Газобетон,2002,Дизайнерский,Балкон + лоджия,3.03,Раздельный,Нет,Нет,Да,Газовое,Смешанный,Да,Продажа,Застройщик,8268592,164713,2025-07-11
2250,Южный,Гагарина,97,Южная,39,138.1,77.3,21.1,1,13,13,Панельный,Дерево,2004,Дизайнерский,Нет,2.71,Совмещенный,Да,Да,Да,Электрическое,Смешанный,Нет,Аренда,Агентство,14989926,108544,2025-08-11
2251,Московский,Строителей,130,Северная,11,79.1,44.3,7.0,5,14,23,Монолитно-кирпичный,Монолит,1977,Евроремонт,2 лоджии,3.39,Совмещенный,Да,Да,Да,Электрическое,На улицу,Да,Аренда,Застройщик,18556385,234594,2026-03-21
2252,Кировский,Университетская,170,Северная,35,100.8,58.0,11.9,6,4,20,Деревянный,Монолит,2019,Евроремонт,Балкон + лоджия,2.51,Совмещенный,Нет,Нет,Да,Автономное,Во двор,Нет,Продажа,Агентство,28543334,283168,2025-11-25
2253,Западный,Советская,146,Проспект Мира,2,47.4,27.6,21.9,6,30,30,Деревянный,Дерево,2023,Без ремонта,Нет,2.97,2 санузла,Да,Нет,Нет,Центральное,На улицу,Нет,Аренда,Агентство,8529061,179938,2025-01-08
2254,Ленинский,Строителей,67,Спортивная,6,83.2,57.7,11.5,5,7,26,Панельный,Кирпич,1958,Евроремонт,Нет,3.31,Совмещенный,Да,Нет,Нет,Центральное,На парк,Нет,Продажа,Собственник,8004089,96203,2026-01-24
2255,Советский,Ленина,197,Парк Культуры,2,40.8,25.4,21.1,1,10,13,Кирпичный,Панель,2023,Косметический,Лоджия,2.62,2 санузла,Нет,Нет,Да,Автономное,На реку,Да,Продажа,Собственник,8014221,196427,2026-05-24
2256,Советский,Строителей,18,Северная,26,29.3,17.9,6.6,4,15,27,Монолитный,Кирпич,2024,Дизайнерский,Лоджия,2.57,2 санузла,Нет,Нет,Нет,Газовое,На парк,Нет,Аренда,Агентство,3786409,129229,2025-02-11
2257,Московский,Победы,115,Спортивная,19,137.0,82.7,6.5,5,5,24,Деревянный,Кирпич,1972,Косметический,Балкон,3.29,2 санузла,Нет,Да,Нет,Центральное,На улицу,Да,Аренда,Собственник,15554980,113540,2026-04-16
2258,Октябрьский,Победы,108,Спортивная,3,85.5,55.7,14.4,2,3,6,Деревянный,Монолит,1973,Евроремонт,Балкон,2.58,Раздельный,Да,Да,Нет,Центральное,Смешанный,Да,Продажа,Агентство,9073003,106117,2025-05-23
2259,Центральный,Советская,80,Автозаводская,35,73.2,49.3,12.9,5,1,25,Блочный,Панель,1999,Косметический,Нет,3.28,2 санузла,Нет,Нет,Да,Газовое,Во двор,Нет,Аренда,Собственник,21878308,298884,2025-04-03
2260,Восточный,Лесная,46,Площадь Ленина,13,81.6,57.6,17.1,5,18,25,Деревянный,Монолит,1995,Косметический,Нет,2.94,2 санузла,Нет,Нет,Нет,Центральное,Во двор,Да,Продажа,Собственник,21865128,267955,2026-04-24
2261,Октябрьский,Строителей,89,Парк Культуры,31,96.9,55.5,7.8,3,4,4,Деревянный,Панель,2026,Косметический,Лоджия,3.2,Раздельный,Нет,Нет,Да,Автономное,На улицу,Нет,Аренда,Застройщик,20488632,211441,2025-08-23
2262,Центральный,Ленина,68,Северная,40,68.9,48.9,9.4,3,4,9,Кирпичный,Газобетон,1992,Косметический,2 лоджии,2.69,Раздельный,Нет,Да,Да,Газовое,Смешанный,Да,Аренда,Застройщик,14844711,215453,2026-02-14
2263,Центральный,Лесная,92,Площадь Ленина,36,36.6,21.0,20.1,6,8,11,Монолитно-кирпичный,Панель,2017,Евроремонт,Нет,3.22,Раздельный,Нет,Нет,Нет,Центральное,На парк,Да,Аренда,Агентство,7409340,202441,2025-03-07
2264,Восточный,Кирова,119,Площадь Ленина,15,124.1,77.4,7.5,5,10,12,Кирпичный,Кирпич,1986,Евроремонт,Балкон + лоджия,3.03,Раздельный,Да,Нет,Да,Электрическое,На улицу,Да,Продажа,Собственник,27190930,219105,2026-01-05
2265,Центральный,Пушкина,199,Спортивная,9,124.7,84.9,18.8,4,16,17,Монолитный,Дерево,1966,Дизайнерский,2 лоджии,2.59,Раздельный,Нет,Да,Нет,Центральное,Смешанный,Нет,Продажа,Агентство,10189735,81714,2025-10-19
2266,Советский,Лесная,110,Северная,45,140.8,97.3,6.7,3,19,25,Монолитно-кирпичный,Панель,2021,Требует капремонта,Лоджия,2.64,2 санузла,Да,Да,Да,Электрическое,На парк,Нет,Продажа,Агентство,36929728,262285,2026-06-02
2267,Центральный,Кирова,10,Площадь Ленина,3,55.4,39.8,7.5,5,1,14,Блочный,Дерево,2005,Косметический,Нет,3.26,2 санузла,Да,Нет,Нет,Электрическое,На реку,Да,Аренда,Агентство,17646395,318527,2026-02-27
2268,Восточный,Лесная,181,Проспект Мира,22,66.5,48.0,15.0,2,9,9,Монолитный,Кирпич,1968,Требует капремонта,Балкон + лоджия,2.73,Совмещенный,Нет,Да,Нет,Автономное,Смешанный,Да,Продажа,Собственник,18393434,276593,2026-01-02
2269,Восточный,Кирова,71,Спортивная,10,141.2,96.0,12.6,3,2,6,Блочный,Газобетон,1997,Косметический,Балкон + лоджия,2.61,2 санузла,Да,Нет,Нет,Автономное,На улицу,Нет,Аренда,Собственник,19131329,135491,2025-09-25
2270,Приморский,Мира,172,Заречная,22,29.4,21.5,17.4,5,4,20,Монолитный,Монолит,1993,Евроремонт,Лоджия,3.28,2 санузла,Да,Нет,Да,Газовое,На улицу,Да,Аренда,Застройщик,5646475,192057,2026-07-14
2271,Московский,Гагарина,11,Автозаводская,2,90.9,58.4,12.0,6,1,25,Панельный,Монолит,1972,Без ремонта,Балкон + лоджия,3.34,2 санузла,Нет,Нет,Да,Газовое,На реку,Да,Продажа,Агентство,13306123,146382,2026-06-07
2272,Московский,Лесная,160,Площадь Ленина,28,124.8,85.3,11.9,2,7,12,Блочный,Газобетон,1968,Дизайнерский,Балкон + лоджия,3.14,Совмещенный,Нет,Нет,Да,Газовое,Во двор,Да,Аренда,Застройщик,38980780,312346,2025-02-14
2273,Северный,Молодежная,93,Юбилейная,39,63.9,37.6,11.0,4,6,22,Панельный,Кирпич,1966,Евроремонт,Лоджия,3.08,Раздельный,Нет,Да,Нет,Газовое,На реку,Да,Продажа,Агентство,20161536,315517,2025-05-15
2274,Московский,Лесная,142,Заречная,20,119.9,71.1,16.1,2,22,23,Кирпичный,Газобетон,2024,Требует капремонта,2 лоджии,2.9,2 санузла,Нет,Да,Да,Газовое,На улицу,Нет,Продажа,Застройщик,14131773,117863,2026-01-10
2275,Западный,Пушкина,197,Автозаводская,19,88.4,51.6,6.6,4,11,13,Кирпичный,Кирпич,1978,Требует капремонта,2 лоджии,3.04,Совмещенный,Нет,Нет,Нет,Автономное,Смешанный,Да,Продажа,Собственник,16569872,187442,2026-04-27
2276,Восточный,Лесная,125,Площадь Ленина,39,102.2,75.3,21.7,4,1,6,Деревянный,Дерево,2001,Без ремонта,Балкон + лоджия,2.65,Раздельный,Да,Нет,Нет,Газовое,На парк,Нет,Продажа,Собственник,8089130,79150,2025-01-19
2277,Октябрьский,Молодежная,171,Заречная,45,28.7,21.4,7.1,6,2,21,Монолитно-кирпичный,Дерево,1977,Евроремонт,2 лоджии,2.66,Совмещенный,Да,Нет,Да,Электрическое,На улицу,Нет,Аренда,Застройщик,6952001,242230,2026-03-18
2278,Приморский,Молодежная,102,Парк Культуры,40,45.6,32.2,18.5,3,5,12,Монолитно-кирпичный,Газобетон,1983,Дизайнерский,Лоджия,2.58,Раздельный,Да,Нет,Нет,Автономное,На улицу,Нет,Аренда,Собственник,9665695,211967,2026-07-09
2279,Советский,Советская,55,Площадь Ленина,20,25.0,16.3,6.0,4,3,9,Монолитный,Дерево,1992,Без ремонта,Балкон,3.36,Совмещенный,Нет,Нет,Нет,Центральное,На реку,Нет,Продажа,Агентство,6719250,268770,2026-04-16
2280,Центральный,Молодежная,43,Автозаводская,41,158.7,115.6,10.0,1,4,6,Монолитный,Дерево,2015,Евроремонт,Балкон,3.03,2 санузла,Нет,Да,Да,Электрическое,Смешанный,Нет,Продажа,Агентство,40524521,255353,2026-02-10
2281,Южный,Победы,103,Площадь Ленина,30,74.9,41.5,10.8,1,9,22,Деревянный,Панель,2001,Евроремонт,Балкон + лоджия,2.88,Совмещенный,Нет,Нет,Нет,Электрическое,На улицу,Нет,Продажа,Собственник,21500943,287062,2025-04-23
2282,Центральный,Садовая,89,Университет,34,50.0,31.7,20.0,1,3,21,Монолитный,Панель,1959,Евроремонт,Балкон,3.15,2 санузла,Нет,Да,Нет,Электрическое,На реку,Нет,Продажа,Застройщик,15689650,313793,2025-05-31
2283,Кировский,Садовая,76,Университет,14,52.0,31.2,8.3,3,3,15,Кирпичный,Монолит,1972,Косметический,Балкон,2.85,Раздельный,Нет,Нет,Да,Электрическое,На реку,Да,Аренда,Агентство,13056264,251082,2025-03-07
2284,Фрунзенский,Пушкина,72,Площадь Ленина,10,119.2,85.2,20.4,3,8,22,Деревянный,Монолит,1982,Дизайнерский,Лоджия,2.92,2 санузла,Да,Да,Нет,Центральное,На реку,Нет,Продажа,Собственник,36984660,310274,2026-05-15
2285,Восточный,Советская,27,Площадь Ленина,41,91.9,67.5,20.1,5,11,20,Деревянный,Панель,2015,Дизайнерский,Балкон,3.04,2 санузла,Да,Да,Нет,Электрическое,Во двор,Да,Продажа,Собственник,29213907,317888,2025-05-09
2286,Советский,Мира,113,Автозаводская,2,108.0,79.5,11.9,5,5,16,Кирпичный,Панель,1980,Требует капремонта,Лоджия,3.2,Раздельный,Нет,Нет,Нет,Автономное,Во двор,Да,Аренда,Застройщик,15744132,145779,2025-12-19
2287,Восточный,Мира,171,Заречная,13,110.8,81.4,11.8,3,11,20,Монолитно-кирпичный,Панель,1968,Требует капремонта,Нет,3.15,Совмещенный,Да,Да,Да,Газовое,Во двор,Да,Аренда,Собственник,27778224,250706,2025-08-13
2288,Восточный,Университетская,197,Парк Культуры,34,109.8,64.7,8.8,5,15,27,Деревянный,Кирпич,1970,Без ремонта,Балкон + лоджия,2.56,2 санузла,Да,Да,Нет,Автономное,Смешанный,Да,Продажа,Застройщик,31179137,283963,2025-12-29
2289,Северный,Ленина,181,Проспект Мира,39,115.8,63.8,21.6,5,15,15,Деревянный,Монолит,2014,Дизайнерский,Балкон + лоджия,2.62,Раздельный,Да,Нет,Нет,Автономное,На реку,Нет,Продажа,Застройщик,23916174,206530,2025-10-13
2290,Советский,Кирова,33,Северная,33,50.9,31.6,14.4,6,15,29,Панельный,Кирпич,2022,Без ремонта,Нет,3.22,2 санузла,Нет,Да,Да,Автономное,На улицу,Нет,Аренда,Собственник,5549016,109018,2025-09-02
2291,Северный,Университетская,71,Северная,39,139.8,84.0,15.8,4,22,24,Деревянный,Монолит,2024,Без ремонта,Балкон,3.32,2 санузла,Нет,Да,Да,Автономное,Во двор,Да,Аренда,Собственник,39226062,280587,2025-01-10
2292,Восточный,Мира,95,Проспект Мира,42,64.8,45.4,7.3,2,3,4,Блочный,Монолит,1994,Косметический,Нет,3.13,Раздельный,Да,Да,Нет,Центральное,На парк,Да,Аренда,Агентство,15528348,239635,2025-04-14
2293,Кировский,Ленина,175,Спортивная,6,145.7,96.3,20.3,3,3,9,Кирпичный,Газобетон,2022,Без ремонта,2 лоджии,3.05,Раздельный,Нет,Да,Нет,Газовое,Во двор,Нет,Продажа,Агентство,27900821,191495,2026-05-12
2294,Южный,Кирова,115,Парк Культуры,35,63.7,36.8,7.7,1,5,11,Панельный,Газобетон,2006,Косметический,Балкон + лоджия,2.63,Совмещенный,Да,Нет,Нет,Автономное,Во двор,Нет,Аренда,Собственник,17296715,271534,2025-04-21
2295,Центральный,Ленина,102,Проспект Мира,44,65.9,47.5,20.9,4,16,19,Панельный,Панель,1968,Дизайнерский,Балкон + лоджия,3.11,Совмещенный,Да,Да,Нет,Электрическое,Во двор,Да,Продажа,Агентство,16716721,253668,2026-05-02
2296,Восточный,Мира,42,Северная,11,76.2,52.9,19.8,3,7,13,Деревянный,Кирпич,1980,Требует капремонта,Балкон,3.06,2 санузла,Нет,Нет,Да,Газовое,На парк,Да,Продажа,Агентство,18739408,245924,2025-05-02
2297,Центральный,Молодежная,165,Парк Культуры,38,146.1,98.8,9.0,3,18,20,Панельный,Дерево,1984,Косметический,Балкон + лоджия,3.04,2 санузла,Нет,Да,Нет,Электрическое,На реку,Да,Продажа,Застройщик,43680539,298977,2026-05-06
2298,Кировский,Советская,88,Университет,27,126.1,91.7,18.6,1,3,5,Панельный,Газобетон,1989,Евроремонт,Нет,2.68,2 санузла,Нет,Да,Да,Автономное,На улицу,Нет,Продажа,Агентство,10839682,85961,2025-09-27
2299,Ленинский,Садовая,35,Заречная,8,57.6,33.0,14.3,3,7,10,Кирпичный,Панель,1992,Евроремонт,Нет,2.72,Совмещенный,Нет,Нет,Нет,Электрическое,Во двор,Нет,Продажа,Собственник,14462035,251077,2026-05-04
2300,Восточный,Строителей,107,Университет,21,93.7,52.2,18.9,3,4,7,Кирпичный,Монолит,2004,Требует капремонта,Балкон,2.6,Раздельный,Да,Нет,Нет,Газовое,На реку,Нет,Продажа,Агентство,15868657,169356,2025-08-14
2301,Восточный,Победы,26,Проспект Мира,44,31.1,20.9,17.4,1,6,11,Кирпичный,Газобетон,1958,Дизайнерский,Балкон,2.68,Раздельный,Нет,Нет,Да,Автономное,На улицу,Да,Аренда,Собственник,3250012,104502,2026-02-10
2302,Фрунзенский,Гагарина,62,Спортивная,15,85.1,53.9,6.7,3,26,29,Кирпичный,Газобетон,2000,Требует капремонта,2 лоджии,2.98,Совмещенный,Нет,Да,Нет,Газовое,На улицу,Да,Аренда,Собственник,24067471,282814,2025-03-27
2303,Восточный,Молодежная,91,Площадь Ленина,29,97.7,54.2,18.3,2,15,18,Блочный,Дерево,2019,Дизайнерский,Нет,2.94,Раздельный,Да,Нет,Да,Автономное,На улицу,Нет,Аренда,Агентство,26860954,274933,2025-05-08
2304,Центральный,Мира,138,Заречная,20,127.0,84.0,7.2,3,14,14,Кирпичный,Газобетон,1992,Без ремонта,Нет,2.92,Совмещенный,Нет,Да,Да,Газовое,Во двор,Да,Продажа,Собственник,21150072,166536,2026-03-17
2305,Центральный,Садовая,100,Университет,1,129.0,83.8,6.0,3,7,15,Блочный,Кирпич,2026,Косметический,Балкон + лоджия,3.1,Совмещенный,Да,Нет,Нет,Автономное,На парк,Да,Аренда,Собственник,26026266,201754,2025-09-21
2306,Кировский,Молодежная,37,Юбилейная,31,53.7,35.3,17.3,5,3,12,Панельный,Газобетон,1988,Дизайнерский,Балкон,3.29,2 санузла,Да,Нет,Нет,Электрическое,На улицу,Да,Продажа,Собственник,6315120,117600,2026-02-07
2307,Центральный,Победы,162,Южная,39,48.4,33.9,6.3,1,22,30,Блочный,Кирпич,1960,Требует капремонта,2 лоджии,2.59,Раздельный,Да,Да,Нет,Электрическое,На улицу,Да,Аренда,Собственник,15357126,317296,2025-09-22
2308,Приморский,Ленина,170,Парк Культуры,30,89.8,65.6,18.8,5,8,14,Кирпичный,Монолит,1971,Требует капремонта,Нет,2.74,Раздельный,Нет,Нет,Нет,Центральное,На парк,Да,Продажа,Застройщик,18778527,209115,2025-08-14
2309,Советский,Ленина,32,Юбилейная,38,98.3,55.8,16.8,1,7,8,Панельный,Дерево,1996,Дизайнерский,Балкон,2.57,2 санузла,Да,Да,Нет,Электрическое,Во двор,Да,Аренда,Застройщик,20332175,206838,2025-02-19
2310,Северный,Лесная,153,Парк Культуры,18,131.1,76.0,14.0,4,24,28,Монолитный,Панель,1988,Евроремонт,Балкон + лоджия,2.97,Совмещенный,Да,Нет,Да,Автономное,Во двор,Нет,Продажа,Застройщик,29102102,221984,2025-04-11
2311,Октябрьский,Ленина,126,Площадь Ленина,27,41.2,29.2,11.7,3,1,10,Деревянный,Газобетон,2020,Евроремонт,Нет,3.39,Раздельный,Нет,Нет,Да,Центральное,На реку,Да,Продажа,Застройщик,2941556,71397,2026-06-23
2312,Южный,Мира,134,Автозаводская,27,49.9,28.4,17.8,3,3,15,Монолитно-кирпичный,Дерево,1997,Косметический,Балкон,2.73,Раздельный,Нет,Да,Нет,Электрическое,На реку,Нет,Продажа,Агентство,5253771,105286,2025-08-24
2313,Кировский,Молодежная,10,Проспект Мира,30,114.0,68.6,12.1,4,9,26,Блочный,Газобетон,1975,Требует капремонта,2 лоджии,2.51,Раздельный,Да,Нет,Да,Центральное,Смешанный,Нет,Аренда,Собственник,27832986,244149,2025-02-24
2314,Восточный,Строителей,51,Автозаводская,11,32.5,23.7,21.2,1,7,29,Панельный,Дерево,1986,Косметический,Нет,3.39,Совмещенный,Да,Да,Да,Центральное,Во двор,Нет,Продажа,Агентство,9399520,289216,2026-06-02
2315,Центральный,Мира,95,Спортивная,36,57.6,31.7,13.5,5,13,29,Панельный,Дерево,2002,Требует капремонта,2 лоджии,3.23,Раздельный,Да,Нет,Нет,Электрическое,Смешанный,Нет,Аренда,Собственник,16412371,284937,2026-05-09
2316,Фрунзенский,Университетская,30,Северная,36,57.5,33.8,21.7,3,3,7,Кирпичный,Панель,1974,Требует капремонта,Нет,3.03,Раздельный,Нет,Да,Да,Электрическое,На реку,Да,Продажа,Застройщик,7758705,134934,2026-03-30
2317,Северный,Молодежная,160,Спортивная,2,59.1,38.6,14.2,2,15,29,Блочный,Дерево,2013,Требует капремонта,Нет,3.06,Совмещенный,Нет,Да,Нет,Автономное,На реку,Да,Продажа,Собственник,10193627,172481,2025-07-09
2318,Северный,Строителей,10,Проспект Мира,35,159.1,116.4,14.3,6,7,10,Кирпичный,Монолит,1963,Дизайнерский,Балкон,3.33,Раздельный,Да,Да,Да,Электрическое,На улицу,Нет,Продажа,Застройщик,43263267,271925,2026-04-13
2319,Северный,Университетская,109,Южная,33,50.0,29.4,16.7,1,17,22,Панельный,Газобетон,2021,Косметический,Балкон,2.72,Раздельный,Да,Нет,Нет,Электрическое,На реку,Да,Продажа,Агентство,14981850,299637,2025-05-07
2320,Северный,Строителей,132,Парк Культуры,7,79.8,46.1,12.7,1,2,30,Монолитный,Панель,2009,Евроремонт,Нет,2.57,2 санузла,Да,Нет,Да,Центральное,Во двор,Да,Продажа,Застройщик,7162927,89761,2025-06-16
2321,Центральный,Лесная,60,Заречная,30,47.5,30.5,11.6,6,9,10,Деревянный,Монолит,1991,Требует капремонта,Балкон + лоджия,3.1,Совмещенный,Нет,Нет,Да,Центральное,На реку,Нет,Аренда,Агентство,9117055,191938,2025-05-30
2322,Советский,Пушкина,137,Юбилейная,9,95.4,61.6,9.6,5,7,17,Панельный,Монолит,2026,Без ремонта,Балкон + лоджия,2.72,Совмещенный,Нет,Да,Нет,Газовое,На реку,Да,Продажа,Агентство,7511700,78739,2026-05-07
2323,Южный,Молодежная,95,Северная,24,56.8,40.6,11.2,1,5,12,Монолитно-кирпичный,Монолит,1972,Требует капремонта,Балкон + лоджия,2.73,Совмещенный,Да,Да,Да,Автономное,На улицу,Нет,Аренда,Агентство,15088352,265640,2025-01-17
2324,Восточный,Кирова,43,Южная,11,141.7,103.0,7.0,5,12,19,Деревянный,Монолит,1965,Дизайнерский,Нет,2.75,Совмещенный,Нет,Да,Нет,Автономное,На парк,Да,Аренда,Агентство,35805039,252682,2025-02-27
